0.0	AAR2
0.0	AARS2
0.0	AATK
0.0	ABCA13
0.0	ABCB10
0.0	ABCB6
0.0	ABCB9
0.0	ABCC12
0.0	ABCC4
0.0	ABCF1
0.0	ABHD10
0.0	ABHD14B
0.0	ABHD3
0.0	ABTB1
0.0	ACAD8
0.0	ACAD9
0.0	ACADS
0.0	ACAT2
0.0	ACC1
0.0	ACE2
0.0	ACOT1
0.0	ACOT2
0.0	ACP5
0.0	ACR
0.0	ACSF2
0.0	ACSF3
0.0	ACSM3
0.0	ACTR10
0.0	ACTR3B
0.0	ACTR3C
0.0	ACTR6
0.0	ADAM18
0.0	ADAM19
0.0	ADAM20
0.0	ADAM28
0.0	ADAM30
0.0	ADAM32
0.0	ADAM5
0.0	ADAMTS16
0.0	ADAMTS9
0.0	ADAT1
0.0	ADGRF4
0.0	ADGRL1
0.0	ADHFE1
0.0	ADNP2
0.0	ADORA3
0.0	ADPRM
0.0	ADRM1
0.0	AGA
0.0	AGL
0.0	AGPAT5
0.0	AGPAT6
0.0	AGPAT9
0.0	AGR2
0.0	AGTPBP1
0.0	AGXT2
0.0	AHCYL2
0.0	AHSP
0.0	AIF1
0.0	AK7
0.0	AKAP11
0.0	AKAP12
0.0	AKAP14
0.0	AKAP17A
0.0	AKIP1
0.0	AKNA
0.0	AKR1C4
0.0	AKR7A3
0.0	ALAS2
0.0	ALDH18A1
0.0	ALDH6A1
0.0	ALG10
0.0	ALG11
0.0	ALG3
0.0	ALG9
0.0	ALKBH1
0.0	ALKBH3
0.0	ALKBH4
0.0	ALKBH8
0.0	ALOX12
0.0	ALOX12B
0.0	ALOX15
0.0	ALPI
0.0	ALPK3
0.0	ALPP
0.0	AMACR
0.0	AMD1
0.0	AMDHD1
0.0	AMDHD2
0.0	AMELY
0.0	AMER2
0.0	AMER3
0.0	AMPD3
0.0	ANKH
0.0	ANKIB1
0.0	ANKRD12
0.0	ANKS4B
0.0	ANP32E
0.0	ANXA2P2
0.0	ANXA4
0.0	ANXA9
0.0	AP4B1
0.0	AP4E1
0.0	AP4S1
0.0	AP5S1
0.0	AP5Z1
0.0	APCDD1
0.0	API5
0.0	APLN
0.0	APOBEC2
0.0	APOBEC3A
0.0	APOBEC3C
0.0	APOBEC3F
0.0	APOBR
0.0	APOC1
0.0	APOD
0.0	APOL1
0.0	APOL4
0.0	APOM
0.0	APPBP2
0.0	AQP6
0.0	AREL1
0.0	ARFGEF2
0.0	ARFRP1
0.0	ARHGAP27
0.0	ARHGAP42
0.0	ARHGEF19
0.0	ARHGEF26
0.0	ARKL1
0.0	ARL10
0.0	ARL11
0.0	ARL13B
0.0	ARL15
0.0	ARL16
0.0	ARL2BP
0.0	ARL4C
0.0	ARL5A
0.0	ARL5B
0.0	ARL5C
0.0	ARL6IP4
0.0	ARPP21
0.0	ARRDC3
0.0	ARSD
0.0	ARSF
0.0	ARSG
0.0	ARSH
0.0	ARSI
0.0	ARSJ
0.0	ARSK
0.0	ART1
0.0	ARV1
0.0	AS3MT
0.0	ASAH2
0.0	ASB11
0.0	ASB12
0.0	ASB13
0.0	ASB14
0.0	ASB15
0.0	ASB3
0.0	ASB5
0.0	ASB7
0.0	ASB8
0.0	ASB9
0.0	ASCC2
0.0	ASIC1
0.0	ASIC3
0.0	ASIC5
0.0	ASNS
0.0	ASPM
0.0	ASXH1
0.0	AT1
0.0	ATAD2B
0.0	ATCAY
0.0	ATF7IP2
0.0	ATOH8
0.0	ATP10D
0.0	ATP11B
0.0	ATP13A1
0.0	ATP13A2
0.0	ATP5H
0.0	ATP5S
0.0	ATP7B
0.0	ATP8A1
0.0	ATP8A2
0.0	ATP8B2
0.0	ATP8B4
0.0	ATPIF1
0.0	ATRAID
0.0	ATXN10
0.0	ATXN2L
0.0	AUP1
0.0	AZGP1
0.0	B4GALNT1
0.0	BAIAP2L2
0.0	BAIAP3
0.0	BAP1
0.0	BBS10
0.0	BBS12
0.0	BCAT1
0.0	BCAT2
0.0	BCCIP
0.0	BCKDK
0.0	BCL2L13
0.0	BDH2
0.0	BECN2
0.0	BEND6
0.0	BFSP2
0.0	BHLHE23
0.0	BICD2
0.0	BIK
0.0	BIN2
0.0	BLMH
0.0	BLOC1S5
0.0	BLVRA
0.0	BLVRB
0.0	BNIP1
0.0	BNIPL
0.0	BOD1
0.0	BOD1L1
0.0	BOK
0.0	BOLL
0.0	BPIFA1
0.0	BRAT1
0.0	BRINP1
0.0	BRINP3
0.0	BSCL2
0.0	BSN
0.0	BTBD10
0.0	BTD
0.0	BTLA
0.0	BUD13
0.0	BVES
0.0	BZW2
0.0	C-ERBB-3
0.0	C14ORF166
0.0	C18ORF32
0.0	C19ORF57
0.0	C1RL
0.0	C21ORF33
0.0	C2ORF49
0.0	C3ORF38
0.0	C5ORF42
0.0	C7ORF55-LUC7L2
0.0	C8ORF4
